pedido_id,data_pedido,cliente_id,regiao,canal,categoria,produto,quantidade,preco_unitario,desconto_pct,custo_unitario,receita_bruta,receita_liquida,custo_total,lucro,margem_pct,mes
PED-00431,2025-01-01,CLI-0025,Centro-Oeste,Marketplace,Eletronicos,Webcam HD,1,229.9,0.0,118.0,229.9,229.9,118.0,111.9,48.67333623314485,2025-01
PED-00758,2025-01-01,CLI-0361,Sudeste,Loja fisica,Eletronicos,Webcam HD,4,229.9,0.15,118.0,919.6,781.66,472.0,309.65999999999997,39.61568968605276,2025-01
PED-00511,2025-01-02,CLI-0175,Centro-Oeste,Marketplace,Esporte,Garrafa Termica,1,79.9,0.05,29.0,79.9,75.905,29.0,46.905,61.7943481984059,2025-01
PED-00532,2025-01-03,CLI-0170,Sudeste,Loja fisica,Escritorio,Cadeira,1,899.9,0.1,510.0,899.9,809.91,510.0,299.90999999999997,37.03004037485647,2025-01
PED-00714,2025-01-03,CLI-0312,Sul,Site,Eletronicos,Webcam HD,2,229.9,0.0,118.0,459.8,459.8,236.0,223.8,48.67333623314485,2025-01
PED-01197,2025-01-03,CLI-0285,Sudeste,Site,Eletronicos,Fone Bluetooth,3,149.9,0.05,72.0,449.70000000000005,427.21500000000003,216.0,211.21500000000003,49.439977528878906,2025-01
PED-01439,2025-01-03,CLI-0185,Sudeste,Marketplace,Eletronicos,Fone Bluetooth,1,149.9,0.0,72.0,149.9,149.9,72.0,77.9,51.96797865243495,2025-01
PED-00808,2025-01-04,CLI-0004,Nordeste,Site,Esporte,Garrafa Termica,1,79.9,0.0,29.0,79.9,79.9,29.0,50.900000000000006,63.7046307884856,2025-01
PED-01136,2025-01-04,CLI-0034,Sul,Site,Esporte,Kit Faixas,1,69.9,0.0,25.0,69.9,69.9,25.0,44.900000000000006,64.2346208869814,2025-01
PED-01220,2025-01-04,CLI-0366,Centro-Oeste,Marketplace,Eletronicos,Webcam HD,1,229.9,0.0,118.0,229.9,229.9,118.0,111.9,48.67333623314485,2025-01
PED-00038,2025-01-05,CLI-0235,Sudeste,Marketplace,Esporte,Tapete Yoga,4,109.9,0.1,44.0,439.6,395.64000000000004,176.0,219.64000000000004,55.515114750783546,2025-01
PED-00397,2025-01-05,CLI-0172,Norte,Marketplace,Casa,Organizador,1,59.9,0.1,22.0,59.9,53.91,22.0,31.909999999999997,59.19124466703766,2025-01
PED-01002,2025-01-05,CLI-0424,Nordeste,Marketplace,Escritorio,Mochila,2,219.9,0.1,102.0,439.8,395.82,204.0,191.82,48.46142185842049,2025-01
PED-01392,2025-01-05,CLI-0305,Centro-Oeste,Marketplace,Casa,Luminaria,3,89.9,0.0,39.0,269.70000000000005,269.70000000000005,117.0,152.70000000000005,56.61846496106786,2025-01
PED-01428,2025-01-05,CLI-0082,Centro-Oeste,Loja fisica,Casa,Luminaria,3,89.9,0.0,39.0,269.70000000000005,269.70000000000005,117.0,152.70000000000005,56.61846496106786,2025-01
PED-00336,2025-01-06,CLI-0051,Nordeste,Marketplace,Esporte,Tapete Yoga,5,109.9,0.0,44.0,549.5,549.5,220.0,329.5,59.96360327570519,2025-01
PED-01192,2025-01-06,CLI-0062,Nordeste,Site,Esporte,Tapete Yoga,2,109.9,0.0,44.0,219.8,219.8,88.0,131.8,59.96360327570519,2025-01
PED-01259,2025-01-06,CLI-0422,Centro-Oeste,Marketplace,Escritorio,Suporte Notebook,5,119.9,0.05,48.0,599.5,569.525,240.0,329.525,57.85961985865414,2025-01
PED-01322,2025-01-06,CLI-0288,Sudeste,Marketplace,Esporte,Tapete Yoga,4,109.9,0.05,44.0,439.6,417.62,176.0,241.62,57.8564245007423,2025-01
PED-00779,2025-01-07,CLI-0148,Sul,Site,Esporte,Tapete Yoga,1,109.9,0.1,44.0,109.9,98.91000000000001,44.0,54.91000000000001,55.515114750783546,2025-01
PED-01391,2025-01-07,CLI-0342,Sudeste,Site,Casa,Luminaria,4,89.9,0.0,39.0,359.6,359.6,156.0,203.60000000000002,56.61846496106786,2025-01
PED-00030,2025-01-08,CLI-0048,Sul,Loja fisica,Eletronicos,Fone Bluetooth,2,149.9,0.0,72.0,299.8,299.8,144.0,155.8,51.96797865243495,2025-01
PED-00139,2025-01-08,CLI-0136,Sudeste,Marketplace,Esporte,Kit Faixas,1,69.9,0.1,25.0,69.9,62.910000000000004,25.0,37.910000000000004,60.260689874423775,2025-01
PED-00480,2025-01-08,CLI-0457,Nordeste,Loja fisica,Eletronicos,Teclado,1,189.9,0.0,91.0,189.9,189.9,91.0,98.9,52.08004212743549,2025-01
PED-00286,2025-01-09,CLI-0124,Nordeste,Site,Eletronicos,Fone Bluetooth,3,149.9,0.0,72.0,449.70000000000005,449.70000000000005,216.0,233.70000000000005,51.967978652434965,2025-01
PED-01283,2025-01-09,CLI-0186,Sudeste,Loja fisica,Eletronicos,Fone Bluetooth,1,149.9,0.0,72.0,149.9,149.9,72.0,77.9,51.96797865243495,2025-01
PED-00203,2025-01-10,CLI-0132,Nordeste,Site,Esporte,Tapete Yoga,2,109.9,0.1,44.0,219.8,197.82000000000002,88.0,109.82000000000002,55.515114750783546,2025-01
PED-00414,2025-01-10,CLI-0196,Sudeste,Site,Casa,Organizador,5,59.9,0.0,22.0,299.5,299.5,110.0,189.5,63.272120200333895,2025-01
PED-01117,2025-01-10,CLI-0311,Nordeste,Site,Esporte,Tapete Yoga,3,109.9,0.0,44.0,329.70000000000005,329.70000000000005,132.0,197.70000000000005,59.96360327570519,2025-01
